title,soldprice,solddate,bids,link
Shop on eBay,20.0,,,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
New listingApple iPhone 13 Pro Max - 256GB - Gold (Unlocked) A2484 (CDMA + GSM),491.57,Sold  3 Oct 2023,12 bids,https://www.ebay.co.uk/itm/186104701527?epid=12049274258&hash=item2b54b46257%3Ag%3A3igAAOSwPjllEjF-&amdata=enc%3AAQAIAAAA4FK013n9%2BaZJkZwX6LVaz6yRTSOlk5teVbrShGLp8vPdnj3cIRmUEMa1DBoiitHegPN5ywFeRG461ExmmRsMacjX5lccd62KAdq8FaUdbAyaoWjZn06SS8xAa%2B7uPZ24JaR9e03dImBo7dw5iE2ozorB149P%2FM5NupfH2avU1741YMcadkEpS9oD8CxO%2B9VbbDPVK6wXaLaEYyKJcNk%2FSvpDXQEPJgsUJ8sRBC2tuB%2BoaZH%2BM5dG%2Fnm912QQKfE4zfvJ8vbXv9XnceyGWhc%2F4zf2NuZduVqUFly1qum6DEFc%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
New listingApple iPhone XR - 64GB - Blue (AT&T) A1984 (CDMA + GSM),102.41,Sold  3 Oct 2023,5 bids,https://www.ebay.co.uk/itm/404529206528?epid=13023705932&hash=item5e2fd1d500%3Ag%3A0HQAAOSwnxplG4FI&amdata=enc%3AAQAIAAAA4Km4T2XIIArH%2FTk0PheMMiaSnoTGzVS%2FbakkKAHWV0ytmUi10omIWMIiK8VKP%2FF6SzCdMsQaAYEpNR%2F%2F7WaqckxF3a6nnXYwsXZ3AgNZ9WDFPgJFjoneg2SjtGYwcLlcvYtH2bjznYOLy53HN2puTI4QoHqCnHeujt%2FUbml58L59oK2LtCiSOOB5b2%2BgEOh9FZA9bpzvZAStpMDKv5gke%2FoM8%2FtKRlmq2CaMMjUEtU%2BQdShminfyHRT%2FbYbXgsJ%2BL0rGoaYpJzLq4f3kGiaaSBtQzQ%2FAiOYTs4foVQlYp1it%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),184.34,Sold  3 Oct 2023,4 bids,https://www.ebay.co.uk/itm/335053193252?epid=14034212885&hash=item4e02ba0024%3Ag%3ALr0AAOSwnk5lGg6R&amdata=enc%3AAQAIAAAA4AVEc5jYBnexIhW91f%2B4pqfxgNjQU90iqj0HnXMmOG9hKDr3MpNkbJ9ZFahRdnaUY20UX3TuXaWurJKpfpEJiKGaLgxPm2IlTx8Wecy3e1NHdzmVTjycXdJ%2FfLyf0dehsDb4PAU%2Bl%2FY6M%2FG7sd%2Bi1YnpXqNlbfjTxOIGOyJ0tnwJfTyzjjYZuDO5nW5iM5KgoIkUzYw9TerlGcaCWc5eKr58wgSl9L6qSAZQ5G2XUSCVoi1yu%2B8VnWB9LpcjGyQl3RxdIhMD%2FqW7JqKv2LogfZEFUwGc3VreK6j0lmFHREB%2B%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1897 (GSM),69.64,Sold  3 Oct 2023,13 bids,https://www.ebay.co.uk/itm/256237413078?epid=239080666&hash=item3ba8f0a2d6%3Ag%3A3D4AAOSw6WJk-V36&amdata=enc%3AAQAIAAAA4K%2BO36N0z6QDZs1thLcbPX15M0j7Tx4dPUehUyJrd45VE8cEIQFa8JT6aSDXRXLhMrRNisfBVhswyQuDpC%2B%2BG7kLFAVPI1aO8OcaCKBqvGIw0O6KreUsp7LJpNechbHbw0r1udAQEtny36U7rzKJmxBhEgh2KGYpLU0IRBUAnWdRiUN4tv3CAqJBuebxoGzzVArCnBqsVHBU0vFuFwOkZPIyh8AW6LoEjMh3cYK7924RIV2sA%2F5wGzElJ1PijneEnXuiB4JlNPCfs1cJufscsTkx%2FeZyvxeUUR9QR7tH29oU%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
New listingApple iPhone XR - 256GB - Black (Unlocked) A1984 (CDMA + GSM),110.61,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/285500416648?epid=3023715537&hash=item427926a288%3Ag%3AujEAAOSw4b9lGz%7E1&amdata=enc%3AAQAIAAAAwEuMmokySZFWVnZHRTZE7EncVKVqtgZ2ABR7Oj6a1qy8Si6BbPqPBzMcvYsU7Xv8qhy5C9jRYGQtM%2F6%2B%2BFQE%2FnxTlSI4GJOO7vIXQvM9XOa3ZgqktfjyDgeAg%2FUrF%2BNd%2FWP25mPddFWzFb6fnHn4IYEIQrEJ6PMEvmivk54r2kdXfaTMm%2BalODmZO%2B6PARhrG0WtswYDOVJY59xlETCQidqAUHyjkBlIbVhAXxrLb3TC%2BoijQ%2F16UfNV1uKQ65GJhw%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
New listingApple iPhone 14 Pro Max - 128GB - Deep Purple (T-Mobile)  PLEASE READ B4 Bidding,409.65,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/235239222303?epid=7056262400&hash=item36c559ac1f%3Ag%3Aoi8AAOSwB-5lF0cz&amdata=enc%3AAQAIAAAAwN1iq6G2aEJ0w4A%2FoDeNPdSbEbMKA%2FW1DQANbUO1fmvOkYmoxRgzb8KugaRbf0ZAfFRorLAJ9q387FA2xUxtRRTTdigIklGUfm67h0wPTnlAsmBDVx5FE8k1foLO1xBnUjW0uQON69sQd81IujHOM07TgpMX5VfjpgbAw2ybmwOrVKcYXR6iFdhta%2F%2Fbtxw6wtMnp9uDU2HgWpzJTMBXVqz%2BKtMzsSjOomvuVS0ROCA%2BjnYEusybtnrLbUHV8jVwGw%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 11 Pro Max - 256GB - Midnight Green (Unlocked) A2161 (CDMA + GSM),332.64,Sold  3 Oct 2023,23 bids,https://www.ebay.co.uk/itm/175923067409?epid=17034215592&hash=item28f5d4fa11%3Ag%3AYwkAAOSwsHplElPr&amdata=enc%3AAQAIAAAAwKZ%2FS%2BqqKnm2JtfD3OFX0KHq5wLGJ87ygKLPMJ0t%2FvlJG4JlqX8xl%2B26nqN2cdF2NTyqzAMk60Xc0Hl9thejBdN3zHP30EStEec7ynK2lLTPC6FtVfJhBPuIdO8VzMvYLFM%2Ft8ptcD3L4gVYLNQov2kaNamgWJlDh8M9Kdxs5xTGGLceiH%2BlBoeiZoC8S5mI19d%2FTE5cDy%2BHQo16U5cinhwRFwi7rf4ut4F13EQyZuGHMcv%2BlFC091kGjOx1bdInBg%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 12 Pro - 128gb - Grey (Carrier - TMO) (Read Description) 7753,218.75,Sold  3 Oct 2023,42 bids,https://www.ebay.co.uk/itm/276069769967?hash=item40470a62ef%3Ag%3A9h4AAOSwMCNlFPUO&amdata=enc%3AAQAIAAAAwIemBFhwCBje0KGoUhax6JtB2V4bfkkmM3gNzcTjJbYBb1nPMEtMb70kjrYfdRdRYNOpt%2FcLq9HMKL43r%2BYGVjLCmi%2Bfh6F8xfz%2FydR8E3CwTY4qL3vnB49mDmIhnP256Sp4%2BawUTwpXLMjkRQVa5ajDvx62TqoNNBE9kg8vk1aSYV1CyHNhy5DTxDtDL5KXPWVbFqMHe1eBywGWk6HiMotyN4B4KagRk5EEfJWL0gByh03N2yuYG%2FESRY7pfcXBFA%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
LOT of 6 Used Apple iPhones 4S & OtterBox Cases- A1387,10.24,Sold  3 Oct 2023,4 bids,https://www.ebay.co.uk/itm/175923030177?hash=item28f5d468a1%3Ag%3AxiAAAOSwGhdlEk8M&amdata=enc%3AAQAIAAAAsAMr1YPQhd74TDVY7uXNHNDlDOfjE1cdvCc%2FoZx5loQxf9Mywjoic0pIhxCN9s4SKXANVp2M9k%2BTSWHvuEaFxAn%2Fj51ThX7ujsGzwKLqH4nN47sB8nwzpKTkQzOMlAoZhHjbop0bFqbvtoDHHh6lLly%2FK%2FBvasppLK6woxxZ4201xJKxU99KB7s1XZLruUjC97jHwhWzmsxwn7wxzX%2Bxg6jmzZluN0mus%2BHFjNhUiPm9%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
